5659721	|	15	|	1
5714655	|	2	|	1
5263899	|	146	|	1
5766061	|	6	|	2
5893007	|	2	|	1
5984144	|	77	|	1
5904297	|	7	|	1
5992438	|	4	|	2
5714654	|	3	|	1
5994872	|	1	|	2
6077422	|	10	|	1
6133521	|	3	|	1
5777475	|	8	|	1
6164974	|	21	|	1
6149637	|	15	|	1
6179539	|	11	|	1
6080256	|	21	|	1
6245442	|	29	|	5
6277441	|	2	|	1
5984512	|	8	|	1
6350498	|	3	|	1
6368615	|	2	|	1
6320475	|	24	|	1
6414996	|	8	|	1
6414155	|	3	|	2
6443061	|	16	|	2
6475745	|	4	|	2
6483085	|	24	|	1
6456575	|	5	|	1
6427039	|	29	|	1
6549347	|	1	|	1
5719645	|	89	|	1
6558931	|	25	|	1
6349922	|	8	|	2
6489313	|	5	|	2
6659069	|	14	|	2
6658986	|	28	|	1
6695444	|	33	|	1
6656874	|	10	|	1
6688974	|	29	|	1
6700656	|	10	|	1
6836127	|	2	|	1
6692154	|	1	|	1
6848080	|	2	|	3
6907349	|	39	|	1
6912542	|	40	|	1
6960721	|	21	|	2
7010032	|	2	|	1
5976259	|	161	|	1
7055527	|	1	|	1
7042501	|	3	|	2
7115695	|	17	|	1
7154634	|	16	|	2
7209040	|	2	|	1
6909041	|	12	|	1
7212742	|	10	|	1
6982166	|	5	|	2
7190049	|	32	|	1
7207427	|	2	|	1
6950536	|	3	|	1
7225800	|	4	|	1
7270094	|	12	|	1
7190554	|	122	|	1
7420860	|	18	|	1
7046355	|	18	|	1
7496602	|	26	|	2
7560763	|	7	|	1
7581540	|	10	|	1
7613724	|	21	|	1
7652078	|	2	|	1
7606000	|	17	|	1
7735510	|	8	|	1
7821487	|	1	|	1
7884023	|	8	|	1
8010702	|	11	|	1
8010388	|	7	|	1
8012381	|	11	|	1
8043534	|	31	|	1
8037455	|	33	|	16
8093893	|	2	|	1
7918618	|	4	|	1
8120665	|	4	|	1
8126721	|	25	|	1
8158674	|	20	|	1
7909083	|	59	|	1
8250395	|	2	|	1
8271799	|	8	|	2
8297335	|	4	|	2
8296957	|	14	|	1
8304607	|	17	|	1
8306897	|	5	|	1
8152960	|	1	|	1
8317826	|	5	|	2
8319268	|	3	|	1
8322058	|	8	|	1
